RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-04,2017-11-11,2017-11-18,2017-11-25,2017-12-02,2017-12-09,2017-12-16,2017-12-23,2017-12-30,2018-01-06,2018-01-13,2018-01-20,2018-01-27,2018-02-03,2018-02-10,2018-02-17,2018-02-24,2018-03-03,2018-03-10,2018-03-17,2018-03-24,2018-03-31,2018-04-07,2018-04-14,2018-04-21,2018-04-28,2018-05-05,2018-05-12,2018-05-19,2018-05-26,2018-06-02,2018-06-09,2018-06-16,2018-06-23,2018-06-30,2018-07-07,2018-07-14,2018-07-21,2018-07-28,2018-08-04,2018-08-11,2018-08-18,2018-08-25,2018-09-01,2018-09-08,2018-09-15,2018-09-22,2018-09-29,2018-10-06,2018-10-13,2018-10-20,2018-10-27,2018-11-03,2018-11-10,2018-11-17,2018-11-24,2018-12-01,2018-12-08,2018-12-15,2018-12-22,2018-12-29,2019-01-05,2019-01-12,2019-01-19,2019-01-26,2019-02-02,2019-02-09,2019-02-16,2019-02-23,2019-03-02,2019-03-09,2019-03-16,2019-03-23,2019-03-30,2019-04-06,2019-04-13,2019-04-20,2019-04-27,2019-05-04,2019-05-11,2019-05-18,2019-05-25,2019-06-01,2019-06-08,2019-06-15,2019-06-22,2019-06-29,2019-07-06,2019-07-13,2019-07-20,2019-07-27,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-05,2019-10-12,2019-10-19,2019-10-26,2019-11-02,2019-11-09,2019-11-16,2019-11-23,2019-11-30,2019-12-07,2019-12-14,2019-12-21,2019-12-28,2020-01-04,2020-01-11,2020-01-18,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07
102001,0,United States,Country,,275475.0,275475.0,275475.0,274975.0,274800.0,274050.0,272800.0,271550.0,270450.0,269925.0,269900.0,269925.0,270950.0,272200.0,273475.0,275725.0,277200.0,278975.0,281475.0,283975.0,286475.0,288475.0,290854.0,292354.0,294604.0,296854.0,298161.0,299386.0,299636.0,299861.0,299900.0,299900.0,299900.0,299900.0,299900.0,299900.0,299900.0,299900.0,299800.0,299575.0,299350.0,299125.0,299000.0,298750.0,298475.0,298450.0,298450.0,298698.0,298848.0,298623.0,298373.0,297938.0,297205.0,296455.0,295705.0,294617.0,293475.0,292725.0,291475.0,290725.0,290450.0,289825.0,289800.0,289800.0,289825.0,291175.0,292450.0,294700.0,296950.0,298200.0,299425.0,300700.0,303200.0,305700.0,308950.0,311700.0,313400.0,315675.0,317425.0,318675.0,320475.0,321950.0,323200.0,324425.0,324900.0,324800.0,324300.0,323075.0,321850.0,320700.0,319950.0,319700.0,319175.0,317950.0,316725.0,315700.0,314504.0,313979.0,313179.0,311954.0,311175.0,310438.0,309963.0,309913.0,309413.0,308175.0,306919.0,304469.0,302456.0,301181.0,299938.0,299863.0,299625.0,299400.0,299175.0,299000.0,299225.0,299450.0,299698.0,300370.0,302172.0,304672.0,308400.0,311728.0,314450.0,315850.0,315875.0,315875.0,315600.0,316475.0,317725.0,320200.0,322225.0,324725.0,327225.0,329725.0,332225.0,334600.0,336850.0,338100.0,339325.0,339700.0,339950.0,339975.0,340475.0,340975.0,341707.0,342551.0,343051.0,343382.0,343875.0,344256.0,344506.0,344900.0,344550.0,343888.0,342787.0,341537.0,340637.0,339825.0,339075.0,338043.0,336818.0,335190.0,333290.0,331823.0,330548.0,329900.0,329900.0,330184.0,331459.0,333734.0,336259.0,339750.0,343250.0,345998.0,348498.0,351998.0,354748.0,358500.0,363475.0,367450.0,371200.0,374175.0,376450.0,377725.0,379975.0,381719.0,382969.0,384194.0,384419.0,384198.0,383198.0,381973.0,380735.0,379963.0,379713.0,379213.0,378100.0,376875.0,375875.0,375125.0,375000.0,375250.0,375975.0,376723.0,377448.0,377923.0,377695.0,376948.0,376223.0,375498.0,375000.0,374975.0,374950.0,374200.0,372948.0,371698.0,370473.0,370970.0,372223.0,374148.0,376647.0,379400.0,382900.0,386500.0,391249.0,394974.0,397724.0,400974.0,403725.0,407575.0,412575.0,417550.0,422250.0,425925.0
394913,1,"New York, NY",Msa,NY,515304.0,515552.0,515799.0,514532.0,514285.0,514037.0,512800.0,511593.0,509119.0,506893.0,506893.0,507883.0,510579.0,514290.0,517753.0,522701.0,527426.0,531755.0,536703.0,539177.0,541651.0,543259.0,543259.0,543504.0,543751.0,545953.0,548427.0,551014.0,554725.0,556481.0,557966.0,559091.0,559091.0,559091.0,557854.0,556370.0,553896.0,550185.0,547712.0,545485.0,544223.0,544199.0,543951.0,543704.0,543605.0,543630.0,543877.0,545337.0,546673.0,546673.0,546673.0,546450.0,546450.0,546450.0,546450.0,545460.0,544248.0,544223.0,543976.0,543728.0,543481.0,543209.0,542714.0,542467.0,542467.0,542517.0,543234.0,543729.0,543976.0,544223.0,546475.0,550185.0,554886.0,559586.0,562307.0,564781.0,566266.0,568739.0,570966.0,571955.0,573168.0,573415.0,573662.0,575122.0,576359.0,576334.0,576087.0,574132.0,571683.0,570471.0,569482.0,568987.0,567750.0,566265.0,564781.0,563297.0,563050.0,564534.0,566018.0,567502.0,569976.0,570966.0,571955.0,572945.0,572945.0,572450.0,572203.0,572203.0,572203.0,572698.0,572945.0,572945.0,572698.0,572698.0,571708.0,570718.0,569976.0,568987.0,568987.0,569976.0,572450.0,576161.0,582098.0,587046.0,590509.0,592736.0,592736.0,592736.0,592736.0,592736.0,592736.0,592736.0,592736.0,592736.0,592736.0,592958.0,593206.0,593948.0,598846.0,605055.0,611240.0,617919.0,621927.0,625613.0,630561.0,634519.0,637983.0,640234.0,641223.0,642213.0,642436.0,642682.0,642930.0,643177.0,643202.0,645429.0,647655.0,649882.0,651861.0,651119.0,651119.0,651119.0,651589.0,652578.0,654310.0,657006.0,660742.0,664717.0,667207.0,668984.0,670749.0,668249.0,670750.0,673000.0,674000.0,679000.0,678000.0,677000.0,676000.0,675000.0,676000.0,677000.0,677750.0,677750.0,677750.0,676750.0,674500.0,672750.0,667750.0,663750.0,659000.0,654500.0,652248.0,649748.0,649498.0,649248.0,646748.0,644248.0,641748.0,638248.0,635725.0,633475.0,632475.0,633475.0,636500.0,639875.0,641125.0,641375.0,643125.0,644500.0,646750.0,649000.0,649000.0,649000.0,649000.0,649000.0,649250.0,649500.0,652000.0,655500.0,660250.0,666500.0,671500.0,675750.0,680722.0,684222.0,686972.0,689472.0,691000.0,693250.0,695500.0,697750.0,698750.0,699000.0,699000.0,699000.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,810364.0,810390.0,809856.0,810845.0,811099.0,812116.0,812905.0,812933.0,813137.0,813137.0,813137.0,813137.0,812933.0,813187.0,813416.0,813671.0,818987.0,827890.0,840124.0,850807.0,857192.0,860982.0,861491.0,863525.0,864797.0,864823.0,864823.0,864823.0,864820.0,864795.0,864769.0,864515.0,864263.0,864034.0,863805.0,861262.0,856174.0,851059.0,843657.0,833737.0,826106.0,818504.0,812170.0,809372.0,805811.0,803268.0,801411.0,799122.0,797341.0,794289.0,792076.0,790804.0,788769.0,786480.0,782792.0,778951.0,776382.0,773075.0,769387.0,766843.0,764071.0,761527.0,761273.0,761044.0,761044.0,762061.0,762290.0,762545.0,765314.0,770401.0,776786.0,784414.0,791819.0,799195.0,805300.0,810135.0,812921.0,813429.0,818517.0,824367.0,831756.0,841676.0,846763.0,851087.0,855895.0,858438.0,860982.0,863401.0,863680.0,863680.0,863680.0,863932.0,863932.0,863932.0,864161.0,864034.0,864034.0,864034.0,862228.0,859939.0,857650.0,857621.0,859198.0,861488.0,863777.0,864031.0,864031.0,864031.0,864260.0,864263.0,864492.0,864492.0,864487.0,864511.0,864537.0,866826.0,869397.0,875758.0,882117.0,890002.0,900166.0,912569.0,926304.0,939022.0,945394.0,,924343.0,906283.0,889750.0,880932.0,879406.0,879915.0,884913.0,892433.0,900064.0,907441.0,917704.0,930142.0,942860.0,955833.0,964481.0,968093.0,972162.0,979285.0,984880.0,993020.0,996835.0,997090.0,996835.0,992766.0,989968.0,985644.0,982643.0,980918.0,978194.0,978250.0,978000.0,980500.0,984000.0,988225.0,993225.0,995725.0,998225.0,999000.0,999000.0,1003212.0,1003462.0,1003212.0,1002459.0,998247.0,997998.0,998198.0,1000450.0,1008949.0,1016686.0,1024186.0,1034686.0,1032688.0,1036450.0,1039250.0,1027496.0,1021246.0,1014996.0,1008746.0,1013472.0,1013472.0,1008472.0,1009722.0,1005000.0,1004975.0,1004725.0,999475.0,998975.0,996500.0,992760.0,984260.0,972260.0,962260.0,953500.0,947225.0,943475.0,939725.0,939725.0,939750.0,941000.0,944500.0,944750.0,947250.0,949750.0,950000.0,950000.0,950000.0,950000.0,950000.0,950000.0,950000.0,950000.0,956250.0,956250.0,960000.0,966250.0,967250.0,977000.0,982750.0,986250.0,991211.0,993711.0,996711.0,999461.0,999750.0,1002500.0,1002500.0,1002500.0,1002250.0,999737.0,999737.0
394463,3,"Chicago, IL",Msa,IL,319709.0,317934.0,316413.0,312634.0,309082.0,306546.0,304137.0,303757.0,302491.0,301249.0,300108.0,300235.0,301477.0,304013.0,308298.0,313598.0,319937.0,326023.0,331855.0,336699.0,340502.0,344306.0,346867.0,349403.0,351711.0,353207.0,354449.0,354677.0,354906.0,354906.0,354906.0,354906.0,354677.0,353308.0,350798.0,348262.0,345726.0,343317.0,342024.0,340528.0,338220.0,336927.0,335431.0,334163.0,332921.0,331678.0,330664.0,329624.0,329117.0,327824.0,326530.0,325034.0,323487.0,322220.0,319709.0,317402.0,315145.0,311367.0,308805.0,306270.0,304216.0,304089.0,304038.0,304038.0,305306.0,307943.0,311823.0,316894.0,321966.0,327038.0,331855.0,335809.0,339612.0,342174.0,344963.0,348338.0,350646.0,352928.0,354170.0,354221.0,354221.0,354449.0,354449.0,354449.0,354449.0,353207.0,351584.0,349302.0,346994.0,345599.0,344458.0,343190.0,341922.0,339513.0,337206.0,335912.0,334416.0,334110.0,332867.0,331625.0,330585.0,328863.0,327570.0,326277.0,324781.0,323006.0,321738.0,319243.0,316935.0,315414.0,312878.0,310327.0,307791.0,305484.0,304241.0,305205.0,307513.0,310074.0,,318872.0,322930.0,327748.0,330790.0,334417.0,336952.0,337206.0,337206.0,335710.0,334163.0,333909.0,333909.0,334163.0,335685.0,337745.0,340281.0,342816.0,345377.0,347374.0,349682.0,352192.0,353435.0,354677.0,354928.0,354928.0,354928.0,354928.0,354931.0,354956.0,354982.0,355007.0,355007.0,355007.0,354982.0,354956.0,354703.0,354424.0,353181.0,350646.0,348338.0,345828.0,344281.0,343774.0,342531.0,341387.0,339131.0,337102.0,335834.0,334719.0,334767.0,334862.0,335907.0,337178.0,338573.0,341823.0,344573.0,347073.0,349425.0,349900.0,349900.0,349925.0,349950.0,349975.0,351125.0,352500.0,354750.0,357248.0,358623.0,359698.0,359173.0,358650.0,357400.0,355698.0,353973.0,351998.0,350723.0,349950.0,349700.0,348425.0,345925.0,343200.0,339925.0,337450.0,335975.0,334725.0,334247.0,332997.0,331973.0,330948.0,329925.0,329300.0,328075.0,326850.0,324375.0,322500.0,321225.0,319450.0,318175.0,316550.0,315325.0,314600.0,315123.0,316498.0,317747.0,320247.0,323000.0,325750.0,329500.0,333000.0,335975.0,338450.0,340448.0,342832.0,345309.0,347834.0,350323.0,351939.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,343427.0,342202.0,340975.0,339950.0,339950.0,339938.0,340299.0,340324.0,340724.0,341924.0,341707.0,342851.0,344201.0,345263.0,347619.0,348975.0,350975.0,353225.0,355625.0,358100.0,359325.0,360047.0,362169.0,364444.0,366663.0,368916.0,369393.0,369618.0,369675.0,368450.0,367225.0,364913.0,362638.0,360888.0,358388.0,355725.0,353250.0,351225.0,349950.0,349175.0,347800.0,345325.0,343378.0,341653.0,340278.0,340153.0,339625.0,339600.0,339825.0,339700.0,339450.0,339450.0,339450.0,339450.0,339450.0,338725.0,338125.0,337125.0,336125.0,335600.0,334475.0,333725.0,332475.0,331250.0,330500.0,330750.0,332000.0,334250.0,336725.0,338475.0,340975.0,343475.0,345975.0,348463.0,349713.0,349963.0,351213.0,352975.0,355225.0,357475.0,358725.0,359450.0,359490.0,359490.0,358265.0,355790.0,353500.0,351225.0,349950.0,349825.0,349550.0,348325.0,347075.0,345700.0,344100.0,343350.0,342125.0,341125.0,340500.0,340000.0,340000.0,340000.0,339975.0,339975.0,339975.0,339975.0,340000.0,339975.0,339950.0,339925.0,339173.0,337923.0,335793.0,333543.0,331795.0,330570.0,330448.0,331221.0,332471.0,333721.0,335749.0,337000.0,338225.0,339934.0,340580.0,340805.0,340805.0,340221.0,339575.0,339575.0,339600.0,340975.0,343474.0,345974.0,348474.0,349724.0,351200.0,352475.0,354725.0,356975.0,358223.0,359448.0,359557.0,359782.0,359785.0,359560.0,359450.0,359350.0,359350.0,359575.0,359825.0,359925.0,359825.0,359600.0,359225.0,358248.0,357123.0,356120.0,354743.0,354243.0,354218.0,354218.0,353968.0,353410.0,352185.0,350937.0,350440.0,350000.0,350463.0,351463.0,352713.0,354256.0,356291.0,358788.0,360786.0,362993.0,365243.0,366743.0,369243.0,371743.0,373493.0,376743.0,379745.0,382870.0,386266.0,388019.0,390244.0,392321.0,393677.0,394927.0,395200.0,394998.0,395748.0,396498.0,397500.0,398500.0,398875.0,399350.0,399575.0,399800.0,399925.0,399950.0,399975.0,400000.0,400000.0,400000.0,400000.0,400248.0,401265.0,403515.0,406090.0,409343.0,411823.0,413323.0,414995.0,416118.0,417868.0,420368.0,422370.0,422748.0,422725.0,422725.0,423472.0,425970.0,427492.0,429242.0,433495.0,439995.0,447495.0,454720.0,459220.0,461720.0,465472.0,468827.0,472948.0,477701.0
394974,5,"Philadelphia, PA",Msa,PA,265716.0,265716.0,265463.0,264185.0,262907.0,260377.0,258077.0,256774.0,255266.0,254219.0,253963.0,253197.0,253197.0,254219.0,254449.0,255241.0,256519.0,258586.0,261141.0,263694.0,266480.0,268501.0,270827.0,273359.0,274637.0,275685.0,277192.0,278496.0,280821.0,283351.0,284629.0,285890.0,286145.0,287167.0,287193.0,287210.0,287210.0,286188.0,286162.0,284884.0,283607.0,282329.0,279927.0,279390.0,278853.0,278496.0,279109.0,279620.0,280131.0,280489.0,281000.0,280233.0,279467.0,278189.0,276681.0,274918.0,272388.0,269833.0,267507.0,264952.0,261885.0,259355.0,256825.0,255548.0,255522.0,255522.0,255522.0,256774.0,258077.0,260607.0,264415.0,267763.0,271570.0,274149.0,276704.0,278493.0,281049.0,283581.0,286162.0,289484.0,291810.0,294365.0,295617.0,296128.0,297633.0,298934.0,300237.0,301515.0,301544.0,301546.0,301521.0,301518.0,301262.0,299985.0,298707.0,297432.0,296921.0,298198.0,299502.0,301725.0,303514.0,304536.0,304536.0,303590.0,302568.0,301032.0,300521.0,299882.0,298579.0,297560.0,295515.0,293573.0,292065.0,290915.0,290890.0,289638.0,288615.0,288718.0,289510.0,292040.0,294570.0,296384.0,298173.0,299476.0,301546.0,302313.0,302313.0,303016.0,303245.0,304498.0,305750.0,306325.0,308903.0,312737.0,317847.0,324211.0,328302.0,330883.0,333208.0,334486.0,335764.0,339342.0,341897.0,344223.0,346752.0,346880.0,346880.0,346880.0,345628.0,344414.0,342786.0,341764.0,341905.0,342536.0,343759.0,343125.0,342350.0,340925.0,338774.0,337549.0,335049.0,332549.0,329725.0,327225.0,326000.0,324975.0,324975.0,324700.0,323948.0,323948.0,323923.0,324198.0,324950.0,324975.0,325975.0,325975.0,326724.0,328098.0,329598.0,333323.0,337549.0,341175.0,343700.0,344975.0,343725.0,342475.0,343198.0,343198.0,345448.0,347323.0,346100.0,344825.0,341350.0,338225.0,334950.0,332225.0,329950.0,327450.0,327225.0,326975.0,327750.0,327750.0,327975.0,328450.0,328700.0,329950.0,329975.0,329975.0,328725.0,327475.0,326225.0,325000.0,325000.0,325000.0,324975.0,323700.0,321950.0,319450.0,318200.0,316975.0,315475.0,314200.0,311725.0,311700.0,311200.0,311225.0,311225.0,310250.0,310250.0,310250.0,311500.0,313500.0,315725.0,318200.0,320700.0,323425.0
394692,6,"Houston, TX",Msa,TX,308694.0,308720.0,309656.0,309953.0,310918.0,311930.0,312177.0,312952.0,313169.0,313339.0,313120.0,313180.0,313204.0,313228.0,314436.0,315474.0,316655.0,317837.0,318738.0,320036.0,321266.0,322734.0,324246.0,325360.0,326398.0,327341.0,327582.0,327824.0,327991.0,328015.0,328015.0,328015.0,327991.0,327750.0,327123.0,325893.0,323505.0,321312.0,319286.0,317098.0,315892.0,314708.0,313744.0,313544.0,313520.0,313279.0,312073.0,310864.0,309659.0,308670.0,308468.0,308229.0,308012.0,307554.0,306671.0,305707.0,304742.0,304018.0,303897.0,303897.0,303897.0,303897.0,303897.0,303872.0,303872.0,303872.0,303909.0,304664.0,305628.0,306834.0,308969.0,310650.0,312097.0,313785.0,314991.0,316173.0,317379.0,319067.0,320477.0,321442.0,322153.0,321430.0,320261.0,319320.0,318607.0,318124.0,316918.0,315712.0,314509.0,313520.0,313236.0,312030.0,310800.0,309594.0,308537.0,308296.0,307982.0,307039.0,305968.0,305474.0,305329.0,305891.0,306374.0,305903.0,305180.0,304379.0,303725.0,302896.0,301690.0,300484.0,299437.0,298853.0,298581.0,298340.0,298111.0,298077.0,297889.0,298009.0,298250.0,298492.0,299849.0,301152.0,302408.0,304579.0,305866.0,306614.0,307046.0,306081.0,305102.0,305320.0,306043.0,308431.0,310843.0,312546.0,314838.0,316043.0,317731.0,319570.0,320897.0,322115.0,322788.0,323403.0,324368.0,325344.0,326361.0,327268.0,327485.0,327726.0,328530.0,329067.0,331262.0,333433.0,335091.0,336799.0,336852.0,336675.0,336786.0,337059.0,337457.0,337209.0,336623.0,335875.0,334700.0,334248.0,332998.0,331723.0,330770.0,329973.0,330145.0,330908.0,331908.0,333155.0,334233.0,334745.0,336223.0,338938.0,342438.0,345685.0,348185.0,349223.0,349973.0,351723.0,353998.0,356558.0,359308.0,362811.0,366308.0,369998.0,372998.0,374496.0,374999.0,374749.0,373499.0,372988.0,372143.0,371391.0,371391.0,371401.0,370995.0,370745.0,370734.0,369984.0,369984.0,370223.0,370721.0,371237.0,371785.0,371797.0,371310.0,370796.0,370348.0,370100.0,370098.0,370098.0,369998.0,369998.0,369975.0,369950.0,369922.0,369422.0,369197.0,369277.0,370302.0,372027.0,373527.0,375723.0,377723.0,380248.0,383748.0,386735.0,389735.0,392274.0,394024.0,396036.0,397514.0,398700.0
395209,7,"Washington, DC",Msa,DC,461175.0,458675.0,453650.0,446175.0,439423.0,434445.0,431720.0,429220.0,427248.0,426000.0,425000.0,425000.0,426225.0,427450.0,428700.0,432175.0,434675.0,439425.0,444423.0,448677.0,453677.0,456952.0,459454.0,460475.0,460500.0,460500.0,462725.0,465200.0,468575.0,474300.0,479325.0,484325.0,488425.0,489675.0,489675.0,487200.0,484700.0,480975.0,477475.0,476200.0,473700.0,471200.0,467450.0,463700.0,460975.0,459724.0,460949.0,461224.0,461474.0,461475.0,460247.0,459972.0,459722.0,457223.0,454700.0,452200.0,449700.0,448450.0,445975.0,443000.0,440287.0,437787.0,437284.0,437759.0,438223.0,440948.0,443925.0,446450.0,449448.0,452973.0,457973.0,464198.0,471175.0,477425.0,481200.0,484950.0,488725.0,491225.0,494475.0,496750.0,497975.0,499200.0,499450.0,499450.0,499225.0,499000.0,499000.0,498000.0,495725.0,493225.0,489725.0,487225.0,484750.0,482475.0,481200.0,479925.0,479923.0,481198.0,482473.0,483748.0,485952.0,486952.0,487177.0,487539.0,486587.0,485587.0,485362.0,485000.0,484975.0,484725.0,483450.0,482175.0,479700.0,477450.0,477450.0,477450.0,479950.0,483675.0,487237.0,492012.0,495760.0,501365.0,507802.0,514277.0,520530.0,523700.0,524950.0,522975.0,519950.0,516200.0,513700.0,514200.0,517225.0,523263.0,529288.0,536388.0,542613.0,546575.0,551575.0,554600.0,555850.0,557075.0,555933.0,553558.0,552333.0,551095.0,549987.0,549962.0,548462.0,545950.0,543450.0,542725.0,542975.0,542725.0,541475.0,537225.0,533100.0,529625.0,527125.0,525850.0,524850.0,524825.0,524800.0,524323.0,523195.0,521968.0,521468.0,519970.0,517973.0,516723.0,514748.0,515498.0,517498.0,519975.0,521225.0,520975.0,522200.0,522225.0,524725.0,527475.0,531000.0,534750.0,537475.0,539950.0,539825.0,539825.0,539825.0,538600.0,538950.0,538925.0,538700.0,539950.0,537450.0,534975.0,531950.0,528200.0,526975.0,525725.0,525000.0,523750.0,522500.0,522475.0,522723.0,524473.0,526848.0,527598.0,527350.0,526850.0,525725.0,526000.0,527000.0,527000.0,527000.0,526000.0,525000.0,525000.0,525000.0,526000.0,527000.0,529500.0,533250.0,537250.0,542498.0,546248.0,549973.0,553720.0,557473.0,561719.0,566494.0,570244.0,572744.0,578923.0,581673.0,583150.0,588775.0,590600.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,394475.0,395725.0,395750.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395750.0,396750.0,397750.0,398750.0,399000.0,399000.0,399000.0,399000.0,399225.0,399450.0,399675.0,399800.0,399800.0,399825.0,399850.0,399975.0,399975.0,399950.0,399925.0,399900.0,399900.0,399900.0,399800.0,399575.0,399350.0,399125.0,399000.0,399000.0,399000.0,399000.0,399000.0,399000.0,399000.0,399000.0,398750.0,398250.0,,396250.0,395500.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,395000.0,394750.0,394725.0,394700.0,394700.0,394950.0,395150.0,395925.0,396925.0,397925.0,398750.0,399000.0,399000.0,399000.0,399225.0,399450.0,399675.0,399925.0,399950.0,399975.0,400000.0,400000.0,401225.0,402475.0,,,,406750.0,405750.0,405000.0,403750.0,402500.0,401250.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,401250.0,402198.0,402198.0,402198.0,400948.0,400000.0,401218.0,401218.0,401718.0,401718.0,400475.0,400475.0,399975.0,399975.0,400000.0,400000.0,400650.0,402900.0,405375.0,407625.0,406975.0,404700.0,401975.0,399475.0,399225.0,399000.0,399000.0,398500.0,398500.0,398500.0,398500.0,399000.0,399000.0,399000.0,399225.0,399465.0,399715.0,401215.0,403240.0,404500.0,405750.0,405750.0,405000.0,405000.0,405000.0,405000.0,405000.0,405225.0,405850.0,406850.0,408075.0,408850.0,409225.0,408225.0,405750.0,403500.0,402500.0,402500.0,402500.0,402500.0,401250.0,400000.0,399975.0,399950.0,399925.0,399800.0,399656.0,399556.0,399525.0,399625.0,399794.0,401157.0,403712.0,407487.0,412488.0,417500.0,421250.0,424975.0,428725.0,432325.0,437200.0,441974.0,445474.0,448124.0,449499.0,452000.0,454750.0,459500.0,463250.0,464750.0,467225.0,467475.0,468725.0,469975.0,470283.0,471533.0,472783.0,475033.0,477225.0,478475.0,480975.0,483473.0,485998.0,488498.0,490998.0,492500.0,493750.0,495988.0,496988.0,498213.0,499463.0,500975.0,503725.0,506250.0,508750.0,512250.0,516750.0,524000.0,532750.0,540498.0,545998.0,551248.0,556248.0,562500.0,571250.0,580000.0,588500.0,594725.0,602225.0,609825.0,617325.0
394347,9,"Atlanta, GA",Msa,GA,295845.0,297049.0,299261.0,300882.0,302701.0,303708.0,303708.0,303363.0,303215.0,303436.0,303856.0,305027.0,306649.0,308639.0,310898.0,313021.0,315453.0,317173.0,319410.0,322825.0,326285.0,329946.0,333850.0,336553.0,339138.0,341595.0,342851.0,343834.0,343932.0,343957.0,343957.0,343957.0,343957.0,343932.0,343610.0,340931.0,337270.0,333265.0,328673.0,326437.0,325184.0,324054.0,323808.0,323545.0,322341.0,321358.0,320375.0,319410.0,319164.0,318893.0,317954.0,316750.0,315742.0,314759.0,313862.0,312634.0,311430.0,310226.0,309605.0,309335.0,308657.0,307979.0,306750.0,305767.0,305192.0,304617.0,305109.0,306361.0,307835.0,,,315822.0,319041.0,321498.0,323832.0,326719.0,329177.0,331658.0,334361.0,337347.0,339804.0,342138.0,343342.0,343490.0,342998.0,341893.0,340443.0,338109.0,336364.0,335111.0,333882.0,333391.0,332187.0,330958.0,329730.0,328722.0,327756.0,326527.0,325520.0,324316.0,323808.0,323071.0,322319.0,321732.0,320749.0,320282.0,320297.0,319963.0,319963.0,319963.0,319471.0,319164.0,317935.0,317110.0,315922.0,315431.0,316045.0,316379.0,317530.0,318267.0,318881.0,319616.0,320867.0,322096.0,323568.0,324553.0,324567.0,323339.0,321867.0,320736.0,320736.0,322211.0,324643.0,327002.0,329459.0,331671.0,334153.0,337542.0,339999.0,342432.0,343660.0,343957.0,344601.0,345306.0,345797.0,346935.0,347542.0,349073.0,351014.0,351897.0,352409.0,352384.0,352245.0,352268.0,352798.0,352904.0,352854.0,352431.0,351212.0,349969.0,348775.0,348203.0,348203.0,348178.0,347929.0,347802.0,347802.0,347802.0,348114.0,348390.0,348840.0,349414.0,350548.0,353029.0,355529.0,358676.0,361654.0,366223.0,,,,,397998.0,399059.0,399286.0,399511.0,399761.0,401175.0,401473.0,401498.0,401718.0,401743.0,403070.0,405545.0,406575.0,405550.0,404198.0,401723.0,400770.0,400983.0,400735.0,400735.0,400438.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,399975.0,399975.0,399975.0,399950.0,399950.0,399822.0,399798.0,399573.0,399345.0,398223.0,396998.0,396248.0,396250.0,396250.0,397475.0,398475.0,399473.0,400723.0,401998.0,404473.0,406475.0,,414675.0,418450.0
